published_rank,site,composite,technical,onpage,schema,geo,aeo,eeat,source,scored_at
1,yanivgoldenberg.com,97,20,15,20,25,7,10,carried,2026-04-24
2,heroku.com,80,20,15,20,16,3,6,carried,2026-04-24
3,amplitude.com,77,20,13,16,25,0,3,carried,2026-04-24
4,beehiiv.com,76,20,15,17,17,7,0,carried,2026-04-24
5,resend.com,70,20,15,17,16,0,2,carried,2026-04-24
6,monday.com,69,20,12,13,21,3,0,carried,2026-04-24
7,workos.com,68,20,12,12,21,3,0,carried,2026-04-24
8,render.com,66,20,15,17,14,0,0,carried,2026-04-24
9,stripe.com,65,17,15,17,16,0,0,carried,2026-04-24
10,webflow.com,65,17,12,17,16,0,3,carried,2026-04-24
11,asana.com,65,20,12,17,16,0,0,carried,2026-04-24
12,auth0.com,64,20,15,13,16,0,0,carried,2026-04-24
13,planetscale.com,62,20,13,13,16,0,0,carried,2026-04-24
14,figma.com,62,20,15,13,14,0,0,carried,2026-04-24
15,retool.com,62,20,15,13,14,0,0,carried,2026-04-24
16,mercury.com,61,20,15,17,9,0,0,carried,2026-04-24
17,cursor.com,61,17,15,13,16,0,0,carried,2026-04-24
18,framer.com,61,17,15,13,16,0,0,carried,2026-04-24
19,mongodb.com,61,17,15,13,16,0,0,carried,2026-04-24
20,algolia.com,61,17,15,13,16,0,0,carried,2026-04-24
21,gitlab.com,60,17,15,17,9,0,2,carried,2026-04-24
22,calendly.com,60,17,13,13,17,0,0,carried,2026-04-24
23,cohere.com,59,20,15,10,11,3,0,carried,2026-04-24
24,runwayml.com,57,16,15,17,9,0,0,carried,2026-04-24
25,sentry.io,57,20,13,13,9,0,2,carried,2026-04-24
26,clickup.com,56,17,5,13,21,0,0,carried,2026-04-24
27,zoom.us,54,20,13,12,9,0,0,carried,2026-04-24
28,hubspot.com,54,17,12,13,9,3,0,carried,2026-04-24
29,vercel.com,53,17,15,10,11,0,0,carried,2026-04-24
30,airtable.com,52,20,10,13,9,0,0,carried,2026-04-24
31,n8n.io,52,17,13,13,9,0,0,carried,2026-04-24
32,loom.com,50,20,12,8,10,0,0,carried,2026-04-24
33,slack.com,48,20,15,0,11,0,2,carried,2026-04-24
34,supabase.com,47,16,15,0,16,0,0,carried,2026-04-24
35,notion.so,47,20,15,0,12,0,0,carried,2026-04-24
36,linear.app,46,20,15,0,11,0,0,carried,2026-04-24
37,mailchimp.com,46,17,13,5,11,0,0,carried,2026-04-24
38,zapier.com,46,20,15,0,11,0,0,carried,2026-04-24
39,basecamp.com,44,20,15,5,4,0,0,carried,2026-04-24
40,posthog.com,43,17,12,0,11,3,0,carried,2026-04-24
41,clerk.com,43,17,15,0,11,0,0,carried,2026-04-24
42,github.com,40,14,15,0,11,0,0,carried,2026-04-24
43,huggingface.co,39,20,15,0,4,0,0,carried,2026-04-24
44,netlify.com,39,13,15,0,11,0,0,carried,2026-04-24
45,coda.io,39,20,15,0,4,0,0,carried,2026-04-24
46,convertkit.com,39,20,12,0,4,3,0,carried,2026-04-24
47,cloudflare.com,37,20,13,0,4,0,0,carried,2026-04-24
48,anthropic.com,36,20,12,0,4,0,0,carried,2026-04-24
49,digitalocean.com,36,20,12,0,4,0,0,carried,2026-04-24
50,mixpanel.com,36,17,15,0,4,0,0,carried,2026-04-24
51,segment.com,36,17,15,0,4,0,0,carried,2026-04-24
52,databricks.com,36,20,12,0,4,0,0,carried,2026-04-24
53,snowflake.com,36,17,15,0,4,0,0,carried,2026-04-24
54,datadog.com,34,13,10,0,11,0,0,carried,2026-04-24
55,replicate.com,32,20,8,0,4,0,0,carried,2026-04-24
56,fly.io,22,9,9,0,4,0,0,carried,2026-04-24
57,ramp.com,21,10,0,0,11,0,0,carried,2026-04-24
58,canva.com,12,7,0,0,5,0,0,carried,2026-04-24
59,openai.com,7,7,0,0,0,0,0,carried,2026-04-24
60,perplexity.ai,7,7,0,0,0,0,0,carried,2026-04-24
61,railway.app,0,0,0,0,0,0,0,carried,2026-04-24
