published_rank,site,composite,technical,onpage,schema,geo,aeo,eeat,source,scored_at
1,yanivgoldenberg.com,92,20,15,20,22,7,8,fresh,2026-06-23
2,heroku.com,86,20,15,20,15,10,6,fresh,2026-06-23
3,retool.com,82,20,15,20,23,4,0,fresh,2026-06-23
4,amplitude.com,80,20,15,16,22,4,3,fresh,2026-06-23
5,beehiiv.com,79,20,15,17,17,10,0,fresh,2026-06-23
5,zapier.com,79,20,15,20,24,0,0,fresh,2026-06-23
7,resend.com,75,20,15,17,17,4,2,fresh,2026-06-23
8,render.com,73,20,15,17,21,0,0,fresh,2026-06-23
9,auth0.com,70,20,15,13,16,3,3,fresh,2026-06-23
9,cloudflare.com,70,17,15,13,25,0,0,fresh,2026-06-23
9,webflow.com,70,17,12,20,15,3,3,fresh,2026-06-23
12,mercury.com,68,20,15,17,13,3,0,fresh,2026-06-23
12,stripe.com,68,17,15,17,15,4,0,fresh,2026-06-23
12,supabase.com,68,20,15,13,20,0,0,fresh,2026-06-23
15,figma.com,67,20,15,13,19,0,0,fresh,2026-06-23
15,railway.app,67,20,15,13,15,4,0,fresh,2026-06-23
17,asana.com,65,17,12,17,15,4,0,fresh,2026-06-23
17,calendly.com,65,17,15,13,16,4,0,fresh,2026-06-23
17,clerk.com,65,17,15,17,12,4,0,fresh,2026-06-23
17,monday.com,65,17,15,13,20,0,0,fresh,2026-06-23
17,planetscale.com,65,20,15,13,17,0,0,fresh,2026-06-23
17,runwayml.com,65,20,15,17,13,0,0,fresh,2026-06-23
23,cursor.com,64,17,15,13,15,4,0,fresh,2026-06-23
23,mongodb.com,64,17,15,13,15,4,0,fresh,2026-06-23
23,workos.com,64,20,12,12,17,3,0,fresh,2026-06-23
26,cohere.com,63,20,15,17,8,3,0,fresh,2026-06-23
27,sentry.io,61,20,13,13,13,0,2,fresh,2026-06-23
28,algolia.com,60,17,15,13,15,0,0,fresh,2026-06-23
28,framer.com,60,17,15,13,15,0,0,fresh,2026-06-23
30,gitlab.com,59,17,15,12,13,0,2,fresh,2026-06-23
30,vercel.com,59,20,15,16,8,0,0,fresh,2026-06-23
32,hubspot.com,58,17,12,13,13,3,0,fresh,2026-06-23
32,zoom.us,58,20,13,12,13,0,0,fresh,2026-06-23
34,loom.com,54,20,12,8,14,0,0,fresh,2026-06-23
35,clickup.com,51,17,5,13,16,0,0,fresh,2026-06-23
36,basecamp.com,49,20,15,5,6,3,0,fresh,2026-06-23
37,github.com,46,14,15,5,8,4,0,fresh,2026-06-23
37,mailchimp.com,46,17,13,5,8,3,0,fresh,2026-06-23
39,slack.com,45,20,15,0,8,0,2,fresh,2026-06-23
40,airtable.com,44,20,15,0,6,3,0,fresh,2026-06-23
40,coda.io,44,20,15,0,6,3,0,fresh,2026-06-23
40,databricks.com,44,20,12,0,9,3,0,fresh,2026-06-23
40,digitalocean.com,44,20,15,0,6,3,0,fresh,2026-06-23
40,huggingface.co,44,20,15,0,6,3,0,fresh,2026-06-23
45,linear.app,43,20,15,0,8,0,0,fresh,2026-06-23
45,n8n.io,43,17,15,5,6,0,0,fresh,2026-06-23
47,notion.so,41,20,12,0,9,0,0,fresh,2026-06-23
47,replicate.com,41,20,10,0,8,3,0,fresh,2026-06-23
47,snowflake.com,41,20,15,0,6,0,0,fresh,2026-06-23
50,posthog.com,40,17,12,0,8,3,0,fresh,2026-06-23
51,anthropic.com,38,20,12,0,6,0,0,fresh,2026-06-23
51,convertkit.com,38,20,12,0,6,0,0,fresh,2026-06-23
51,mixpanel.com,38,17,15,0,6,0,0,fresh,2026-06-23
51,segment.com,38,17,15,0,6,0,0,fresh,2026-06-23
55,fly.io,36,13,12,0,8,3,0,fresh,2026-06-23
55,netlify.com,36,13,15,0,8,0,0,fresh,2026-06-23
57,datadog.com,31,13,10,0,8,0,0,fresh,2026-06-23
58,ramp.com,18,10,0,0,8,0,0,fresh,2026-06-23
59,canva.com,13,7,0,0,6,0,0,fresh,2026-06-23
60,openai.com,7,7,0,0,0,0,0,fresh,2026-06-23
60,perplexity.ai,7,7,0,0,0,0,0,fresh,2026-06-23
