published_rank,site,composite,technical,onpage,schema,geo,aeo,eeat,source,scored_at
1,yanivgoldenberg.com,92,20,15,20,22,7,8,fresh,2026-07-01
2,heroku.com,83,20,15,20,15,7,6,fresh,2026-07-01
3,retool.com,82,20,15,20,23,4,0,fresh,2026-07-01
4,amplitude.com,80,20,15,16,22,4,3,fresh,2026-07-01
5,beehiiv.com,78,20,15,17,16,10,0,fresh,2026-07-01
6,zapier.com,79,20,15,20,24,0,0,fresh,2026-07-01
7,resend.com,75,20,15,17,17,4,2,fresh,2026-07-01
8,render.com,73,20,15,17,21,0,0,fresh,2026-07-01
9,auth0.com,70,20,15,13,16,3,3,fresh,2026-07-01
10,cloudflare.com,70,17,15,13,25,0,0,fresh,2026-07-01
11,webflow.com,70,17,12,20,15,3,3,fresh,2026-07-01
12,mercury.com,68,20,15,17,13,3,0,fresh,2026-07-01
13,stripe.com,68,17,15,17,15,4,0,fresh,2026-07-01
14,supabase.com,68,20,15,13,20,0,0,fresh,2026-07-01
15,figma.com,67,20,15,13,19,0,0,fresh,2026-07-01
16,railway.app,67,20,15,13,15,4,0,fresh,2026-07-01
17,asana.com,65,17,12,17,15,4,0,fresh,2026-07-01
18,calendly.com,65,17,15,13,16,4,0,fresh,2026-07-01
19,clerk.com,65,17,15,17,12,4,0,fresh,2026-07-01
20,monday.com,65,17,15,13,20,0,0,fresh,2026-07-01
21,planetscale.com,65,20,15,13,17,0,0,fresh,2026-07-01
22,runwayml.com,65,20,15,17,13,0,0,fresh,2026-07-01
23,cursor.com,64,17,15,13,15,4,0,fresh,2026-07-01
24,mongodb.com,64,17,15,13,15,4,0,fresh,2026-07-01
25,workos.com,65,20,12,13,17,3,0,fresh,2026-07-01
26,cohere.com,63,20,15,17,8,3,0,fresh,2026-07-01
27,sentry.io,63,20,13,13,15,0,2,fresh,2026-07-01
28,algolia.com,60,17,15,13,15,0,0,fresh,2026-07-01
29,framer.com,60,17,15,13,15,0,0,fresh,2026-07-01
30,gitlab.com,59,17,15,12,13,0,2,fresh,2026-07-01
31,vercel.com,59,20,15,16,8,0,0,fresh,2026-07-01
32,hubspot.com,58,17,12,13,13,3,0,fresh,2026-07-01
33,zoom.us,58,20,13,12,13,0,0,fresh,2026-07-01
34,loom.com,56,20,12,8,16,0,0,fresh,2026-07-01
35,clickup.com,51,17,5,13,16,0,0,fresh,2026-07-01
36,basecamp.com,49,20,15,5,6,3,0,fresh,2026-07-01
37,github.com,37,14,15,0,8,0,0,fresh,2026-07-01
38,mailchimp.com,52,17,13,10,8,4,0,fresh,2026-07-01
39,slack.com,45,20,15,0,8,0,2,fresh,2026-07-01
40,airtable.com,44,20,15,0,6,3,0,fresh,2026-07-01
41,coda.io,44,20,15,0,6,3,0,fresh,2026-07-01
42,databricks.com,44,20,12,0,9,3,0,fresh,2026-07-01
43,digitalocean.com,44,20,15,0,6,3,0,fresh,2026-07-01
44,huggingface.co,44,20,15,0,6,3,0,fresh,2026-07-01
45,linear.app,43,20,15,0,8,0,0,fresh,2026-07-01
46,n8n.io,60,17,15,13,15,0,0,fresh,2026-07-01
47,notion.so,41,20,12,0,9,0,0,fresh,2026-07-01
48,replicate.com,7,7,0,0,0,0,0,fresh,2026-07-01
49,snowflake.com,41,20,15,0,6,0,0,fresh,2026-07-01
50,posthog.com,40,17,12,0,8,3,0,fresh,2026-07-01
51,anthropic.com,38,20,12,0,6,0,0,fresh,2026-07-01
52,convertkit.com,38,20,12,0,6,0,0,fresh,2026-07-01
53,mixpanel.com,38,17,15,0,6,0,0,fresh,2026-07-01
54,segment.com,38,17,15,0,6,0,0,fresh,2026-07-01
55,fly.io,36,13,12,0,8,3,0,fresh,2026-07-01
56,netlify.com,82,20,15,20,21,3,3,fresh,2026-07-01
57,datadog.com,31,13,10,0,8,0,0,fresh,2026-07-01
58,ramp.com,67,20,15,20,8,4,0,fresh,2026-07-01
59,canva.com,40,16,12,0,12,0,0,fresh,2026-07-01
60,openai.com,38,17,15,0,6,0,0,fresh,2026-07-01
61,perplexity.ai,30,17,13,0,0,0,0,fresh,2026-07-01
